Country,Cod,Pop_est,Leitos,Inicio,lock1,tau lock1,lock2,tau lock2,lock3,tau lock3,lock4,tau lock4,lock5,tau lock5,lock6,tau lock6
Grenada,79,111454,,31/12/2019,,,,,,,,,18/03/2020,0.67,,
Guam,80,165768,,31/12/2019,,,,,,,,,20/03/2020,0.67,,
Guatemala,81,17247807,,31/12/2019,,,16/03/2020,0.33,,,,,20/03/2020,0.67,,
Guernsey,82,63026,,31/12/2019,,,,,,,,,20/03/2020,0.67,,
Guinea,83,12414318,,31/12/2019,,,16/03/2020,0.33,,,,,22/03/2020,0.67,,
Guinea_Bissau,84,1874309,,31/12/2019,,,,,,,,,23/03/2020,0.67,,
Guyana,85,779004,,31/12/2019,,,,,,,,,25/03/2020,0.67,,
Haiti,86,11123176,,31/12/2019,,,16/03/2020,0.33,,,,,25/03/2020,0.67,,
Holy_See,87,1000,,31/12/2019,,,,,,,,,26/03/2020,0.67,,
Honduras,88,9587522,,31/12/2019,,,16/03/2020,0.33,,,,,30/03/2020,0.67,,
Hungary,89,9768785,903,31/12/2019,,,16/03/2020,0.33,,,,,28/03/2020,0.67,,
Iceland,90,353574,10,31/12/2019,,,,,,,,,29/03/2020,0.67,,
India,91,1352617328,,31/12/2019,,,,,,,,,24/03/2020,0.67,,
Indonesia,92,267663435,,31/12/2019,15/03/2020,0.15,,,,,,,,,,
Iran,93,81800269,,31/12/2019,16/03/2020,0.15,,,,,,,,,,
Iraq,94,38433600,,31/12/2019,,,,,,,,,,,,
Ireland,95,4853506,302,31/12/2019,,,,,27/03/2020,0.53,,,,,,
Isle_of_Man,96,84077,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Israel,97,8883800,,31/12/2019,,,16/03/2020,0.33,,,,,25/03/2020,0.67,,
Italy,98,60431283,4637,31/12/2019,,,,,,,,,10/03/2020,0.67,,
Jamaica,99,2934855,,31/12/2019,,,,,,,,,,,,
Japan,100,126529100,6973,31/12/2019,16/03/2020,0.15,,,,,,,,,,
Jersey,101,106800,,31/12/2019,,,,,,,,,,,,
Jordan,102,9956011,,31/12/2019,,,16/03/2020,0.33,25/03/2020,0.53,,,,,,
Kazakhstan,103,18276499,,31/12/2019,,,,,,,,,,,,
Kenya,104,51393010,,31/12/2019,,,,,14/03/2020,0.53,,,,,,
Kosovo,105,1845300,,31/12/2019,,,,,,,,,,,,
Kuwait,106,4137309,,31/12/2019,,,31/03/2020,0.33,,,,,06/04/2020,0.67,,
Kyrgyzstan,107,6315800,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Laos,108,7061507,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Latvia,109,1926542,81,31/12/2019,16/03/2020,0.15,,,,,,,,,,
Lebanon,110,6848925,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Liberia,111,4818977,,31/12/2019,,,,,,,,,,,,
Libya,112,6678567,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Liechtenstein,113,37910,,31/12/2019,,,,,,,,,,,,
Lithuania,114,2789533,327,31/12/2019,,,,,,,,,,,,
Luxembourg,115,607728,80,31/12/2019,,,,,,,,,,,,
Madagascar,116,26262368,,31/12/2019,,,,,,,,,,,,
Malawi,117,18143315,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Malaysia,118,31528585,,31/12/2019,,,,,,,,,26/03/2020,0.67,,
