UF,Municipio,UF_COD,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau lock1,lock_2,tau lock2,lock_3,tau lock3,lock_4,tau lock4,lock_5,tau lock5,lock_6,tau lock6
AM,Alvaraes,13,1300029,16041,209,25/02/2020,,,,,,,,,,,,
AM,Amatura,13,1300060,11536,209,25/02/2020,,,,,,,,,,,,
AM,Anama,13,1300086,13614,209,25/02/2020,,,,,,,,,,,,
AM,Anori,13,1300102,21010,209,25/02/2020,,,,,,,,,,,,
AM,Apui,13,1300144,21973,209,25/02/2020,,,,,,,,,,,,
AM,Atalaia do Norte,13,1300201,19921,209,25/02/2020,,,,,,,,,,,,
AM,Autazes,13,1300300,39565,209,25/02/2020,,,,,,,,,,,,
AM,Barcelos,13,1300409,27502,209,25/02/2020,,,,,,,,,,,,
AM,Barreirinha,13,1300508,32041,209,25/02/2020,,,,,,,,,,,,
AM,Benjamin Constant,13,1300607,42984,209,25/02/2020,,,,,,,,,,,,
AM,Beruri,13,1300631,19679,209,25/02/2020,,,,,,,,,,,,
AM,Boa Vista do Ramos,13,1300680,19207,209,25/02/2020,,,,,,,,,,,,
AM,Boca do Acre,13,1300706,34308,209,25/02/2020,,,,,,,,,,,,
AM,Borba,13,1300805,41161,209,25/02/2020,,,,,,,,,,,,
AM,Caapiranga,13,1300839,13081,209,25/02/2020,,,,,,,,,,,,
AM,Canutama,13,1300904,15629,209,25/02/2020,,,,,,,,,,,,
AM,Carauari,13,1301001,28294,209,25/02/2020,,,,,,,,,,,,
AM,Careiro,13,1301100,37869,209,25/02/2020,,,,,,,,,,,,
AM,Careiro da Varzea,13,1301159,30225,209,25/02/2020,,,,,,,,,,,,
AM,Coari,13,1301209,85097,209,25/02/2020,,,,,,,,,,,,
AM,Codajas,13,1301308,28637,209,25/02/2020,,,,,,,,,,,,
AM,Eirunepe,13,1301407,35273,209,25/02/2020,,,,,,,,,,,,
AM,Envira,13,1301506,20033,209,25/02/2020,,,,,,,,,,,,
AM,Fonte Boa,13,1301605,17609,209,25/02/2020,,,,,,,,,,,,
AM,Guajara,13,1301654,16678,209,25/02/2020,,,,,,,,,,,,
AM,Humaita,13,1301704,55080,209,25/02/2020,,,,,,,,,,,,
AM,Ipixuna,13,1301803,29689,209,25/02/2020,,,,,,,,,,,,
AM,Iranduba,13,1301852,48296,209,25/02/2020,,,,,,,,,,,,
AM,Itacoatiara,13,1301902,101337,209,25/02/2020,,,,,,,,,,,,
AM,Itamarati,13,1301951,7851,209,25/02/2020,,,,,,,,,,,,
AM,Itapiranga,13,1302009,9148,209,25/02/2020,,,,,,,,,,,,
AM,Japura,13,1302108,2755,209,25/02/2020,,,,,,,,,,,,
AM,Jurua,13,1302207,14712,209,25/02/2020,,,,,,,,,,,,
AM,Jutai,13,1302306,14317,209,25/02/2020,,,,,,,,,,,,
AM,Labrea,13,1302405,46069,209,25/02/2020,,,,,,,,,,,,
AM,Manacapuru,13,1302504,97377,209,25/02/2020,,,,,,,,,,,,
AM,Manaquiri,13,1302553,32105,209,25/02/2020,,,,,,,,,,,,
AM,Manaus,13,1302603,2182763,209,25/02/2020,,,,,,,,,,,,
AM,Manicore,13,1302702,55751,209,25/02/2020,,,,,,,,,,,,
AM,Maraa,13,1302801,18224,209,25/02/2020,,,,,,,,,,,,
AM,Maues,13,1302900,63905,209,25/02/2020,,,,,,,,,,,,
AM,Nhamunda,13,1303007,21173,209,25/02/2020,,,,,,,,,,,,
AM,Nova Olinda do Norte,13,1303106,37378,209,25/02/2020,,,,,,,,,,,,
AM,Novo Airao,13,1303205,19454,209,25/02/2020,,,,,,,,,,,,
AM,Novo Aripuana,13,1303304,25644,209,25/02/2020,,,,,,,,,,,,
AM,Parintins,13,1303403,114273,209,25/02/2020,,,,,,,,,,,,
AM,Pauini,13,1303502,19426,209,25/02/2020,,,,,,,,,,,,
AM,Presidente Figueiredo,13,1303536,36279,209,25/02/2020,,,,,,,,,,,,
AM,Rio Preto da Eva,13,1303569,33347,209,25/02/2020,,,,,,,,,,,,
AM,Santa Isabel do Rio Negro,13,1303601,25156,209,25/02/2020,,,,,,,,,,,,
AM,Santo Antonio do Ica,13,1303700,21602,209,25/02/2020,,,,,,,,,,,,
AM,Sao Gabriel da Cachoeira,13,1303809,45564,209,25/02/2020,,,,,,,,,,,,
AM,Sao Paulo de Olivenca,13,1303908,39299,209,25/02/2020,,,,,,,,,,,,
AM,Sao Sebastiao do Uatuma,13,1303957,14020,209,25/02/2020,,,,,,,,,,,,
AM,Silves,13,1304005,9171,209,25/02/2020,,,,,,,,,,,,
AM,Tabatinga,13,1304062,65844,209,25/02/2020,,,,,,,,,,,,
AM,Tapaua,13,1304104,17156,209,25/02/2020,,,,,,,,,,,,
AM,Tefe,13,1304203,59849,209,25/02/2020,,,,,,,,,,,,
AM,Tonantins,13,1304237,18755,209,25/02/2020,,,,,,,,,,,,
AM,Uarini,13,1304260,13540,209,25/02/2020,,,,,,,,,,,,
AM,Urucara,13,1304302,16256,209,25/02/2020,,,,,,,,,,,,
AM,Urucurituba,13,1304401,23065,209,25/02/2020,,,,,,,,,,,,
RR,Amajari,14,1400027,12796,8,25/02/2020,,,,,,,,,,,,
RR,Alto Alegre,14,1400050,15510,8,25/02/2020,,,,,,,,,,,,
RR,Boa Vista,14,1400100,399213,8,25/02/2020,,,,,,,,,,,,
RR,Bonfim,14,1400159,12409,8,25/02/2020,,,,,,,,,,,,
RR,Canta,14,1400175,18335,8,25/02/2020,,,,,,,,,,,,
RR,Caracarai,14,1400209,21926,8,25/02/2020,,,,,,,,,,,,
RR,Caroebe,14,1400233,10169,8,25/02/2020,,,,,,,,,,,,
RR,Iracema,14,1400282,11950,8,25/02/2020,,,,,,,,,,,,
RR,Mucajai,14,1400308,17853,8,25/02/2020,,,,,,,,,,,,
RR,Normandia,14,1400407,11290,8,25/02/2020,,,,,,,,,,,,
RR,Pacaraima,14,1400456,17401,8,25/02/2020,,,,,,,,,,,,
RR,Rorainopolis,14,1400472,30163,8,25/02/2020,,,,,,,,,,,,
