IBGE_Code,Name_city,State,MHDI_2010,Weighted_average_age,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80+,IFR 0-5,IFR 5-10,IFR 10-15,IFR 15-20,IFR 20-25,IFR 25-30,IFR 30-35,IFR 35-40,IFR 40-45,IFR 45-50,IFR 50-55,IFR 55-60,IFR 60-65,IFR 65-70,IFR 70-75,IFR 75-80,IFR 80+,IFR,IFR_equivalent_ICL_UK,IFR_equivalent_ICL_Peru,IFR_equivalent_ICL_UK_poorer,IFR_equivalent_ICL_Peru_poorer
2408102,Natal,RN ,"0,763","32,56975","6,54","6,94","8,23","8,84","10,19","9,78","7,855","7,855","6,92","6,92","4,715","4,715","2,86","2,86","1,59","1,59","1,59","0,008121172557688","0,006961005049447","0,012761842590653","0,026022308079348","0,058008375412058","0,112373326587237","0,175367930979722","0,259265266043699","0,330988101269245","0,483546992547166","0,828178937421912","1,2578911487497","2,25446016954016","3,22526676970224","4,77635822676246","6,64642710615405","10,2014363246206","0,007106758404083","0,006295489601351","0,006539052810811","0,007529065277027","0,007755767047297"
2111300,São Luís,MA,"0,768","30,2155","7,43","7,53","8,72","9,54","11,31","10,75","8,355","8,355","6,15","6,15",4,4,"2,155","2,155","1,12666666666667","1,12666666666667","1,12666666666667","0,007833203431087","0,006714174369503","0,012309319677422","0,025105171182194","0,055951453079192","0,108399853566748","0,169216624919436","0,250273190594025","0,319944688878805","0,468726156834402","0,805989574293509","1,23014583023072","2,21565879416101","3,18063804100454","4,72059665265976","6,57913300056817","10,1064623847944","0,005450007583246","0,006317070581081","0,006561705648649","0,007488344454955","0,007716969671171"
2800308,Aracaju,SE,"0,77","31,7215","7,11","7,08","8,19","8,58","10,2","10,32","8,49","8,49","6,65","6,65","4,565","4,565","2,59","2,59","1,30666666666667","1,30666666666667","1,30666666666667","0,007718015780446","0,006615442097525","0,01212831051213","0,024738316423333","0,055128684146046","0,106810464358552","0,166756102495322","0,246676360414156","0,315527323922629","0,462797822549296","0,797113829042148","1,21904770282312","2,20013824400934","3,16278654952546","4,69829202301867","6,55221535833382","10,0684728088639","0,006171435183497","0,006325702972973","0,006570766783784","0,007472056126126","0,007701450720721"
2611606,Recife,PE ,"0,772","33,81525","6,28","6,83","7,81","8,17","9,1","9,18","8,13","8,13","7,045","7,045","5,23","5,23","3,17","3,17","1,83333333333333","1,83333333333333","1,83333333333333","0,007602828129806","0,006516709825548","0,011947301346838","0,024371461664471","0,054305915212899","0,105221075150357","0,164295580071208","0,243079530234287","0,311109958966453","0,456869488264191","0,788238083790787","1,20794957541553","2,18461769385768","3,14493505804638","4,67598739337759","6,52529771609947","10,0304832329335","0,007682681861386","0,006334335364865","0,006579827918919","0,007455767797297","0,00768593177027"
5002704,Campo Grande,MS,"0,784","32,28325","7,21","7,16","8,22","8,97","9,39","9,28","8,11","8,11","6,85","6,85","4,94","4,94","2,795","2,795","1,46","1,46","1,46","0,006911702225963","0,005924316193683","0,010861246355085","0,022170333111301","0,049369301614021","0,095684739901184","0,149532445526523","0,221498549155071","0,284605769229397","0,421299482553557","0,73498361228262","1,14136081096997","2,09149439294771","3,03782610917191","4,5421596155311","6,36379186269335","9,8025457773506","0,006341644152749","0,006386129716216","0,00663419472973","0,007358037824324","0,007592818067568"
5103403,Cuiabá,MT,"0,785","31,225","7,37","7,33","8,25","8,91","10,1","10,02","8,545","8,545","6,69","6,69","4,72","4,72","2,46","2,46","1,06666666666667","1,06666666666667","1,06666666666667","0,006854108400643","0,005874950057694","0,010770741772439","0,02198690573187","0,048957917147448","0,094890045297086","0,148302184314465","0,219700134065137","0,282397086751309","0,418335315411004","0,730545739656939","1,13581174726617","2,08373411787188","3,02890036343237","4,53100730071056","6,35033304157618","9,78355098938536","0,005308493182668","0,006390445912162","0,006638725297297","0,00734989365991","0,007585058592342"
1721000,Palmas,TO ,"0,788","27,4285","8,88","8,51","9,24","10,3","11,83","11,5","8,935","8,935","5,68","5,68","3,07","3,07","1,375","1,375","0,54","0,54","0,54","0,006681326924682","0,005726851649727","0,0104992280245","0,021436623593578","0,047723763747728","0,092505961484793","0,144611400678294","0,214304888795333","0,275771039317045","0,409442813983346","0,717232121779897","1,11916455615478","2,06045329264438","3,00212312621376","4,49755035624894","6,30995657822465","9,72656662548964","0,003284037829556","0,0064033945","0,006652317","0,007325461166667","0,007561780166667"
5208707,Goiânia,GO,"0,799","32,50275","6,5","6,67","7,64","8,57","10,12","10,21","8,62","8,62","6,825","6,825","4,93","4,93","2,77","2,77","1,33333333333333","1,33333333333333","1,33333333333333","0,006047794846159","0,005183824153851","0,009503677615393","0,019418922419839","0,043198534615423","0,083764320839718","0,131078527345666","0,194522322806052","0,251475532058077","0,376836975415265","0,668415522897411","1,05812485541302","1,97509026681024","2,90393992307883","4,37487489322299","6,16190954593571","9,51762395787202","0,005746619900072","0,006450872655405","0,006702153243243","0,007235875358108","0,007476425939189"
3304557,Rio de Janeiro,RJ,"0,799","35,948","5,77","6,26","7,38","7,34","8,05","8,73","7,855","7,855","6,935","6,935","6,01","6,01","3,84","3,84","2,39666666666667","2,39666666666667","2,39666666666667","0,006047794846159","0,005183824153851","0,009503677615393","0,019418922419839","0,043198534615423","0,083764320839718","0,131078527345666","0,194522322806052","0,251475532058077","0,376836975415265","0,668415522897411","1,05812485541302","1,97509026681024","2,90393992307883","4,37487489322299","6,16190954593571","9,51762395787202","0,008544968691639","0,006450872655405","0,006702153243243","0,007235875358108","0,007476425939189"
4314902,Porto Alegre,RS,"0,805","36,16425","5,55","6,02","7,16","7,34","8,37","9,25","7,615","7,615","6,805","6,805","6,21","6,21","3,96","3,96","2,38","2,38","2,38","0,005702231894238","0,004887627337918","0,008960650119517","0,018318358143254","0,040730227815984","0,078996153215131","0,123696960073324","0,183731832266444","0,238223437189548","0,359051972559948","0,641788287143327","1,02483047319023","1,92852861635525","2,85038544864159","4,30796100429975","6,08115661923266","9,40365523008059","0,008411784333894","0,006476769831081","0,006729336648649","0,007187010371622","0,007429869087838"
3550308,São Paulo,SP,"0,805","34,028","6,32","6,74","7,71","7,47","8,81","9,55","8,435","8,435","6,91","6,91","5,4","5,4","3,235","3,235","1,81333333333333","1,81333333333333","1,81333333333333","0,005702231894238","0,004887627337918","0,008960650119517","0,018318358143254","0,040730227815984","0,078996153215131","0,123696960073324","0,183731832266444","0,238223437189548","0,359051972559948","0,641788287143327","1,02483047319023","1,92852861635525","2,85038544864159","4,30796100429975","6,08115661923266","9,40365523008059","0,006845891005722","0,006476769831081","0,006729336648649","0,007187010371622","0,007429869087838"
3106200,Belo Horizonte,MG,"0,81","34,802","5,63","6,1","7,22","7,69","9,21","9,72","8,265","8,265","7,035","7,035","5,62","5,62","3,415","3,415","1,92333333333333","1,92333333333333","1,92333333333333","0,005414262767637","0,004640796657974","0,008508127206286","0,0174012212461","0,038673305483118","0,075022680194643","0,117545654013038","0,17473975681677","0,227180024799108","0,344231136847184","0,619598924014924","0,99708515467125","1,8897272409761","2,8057567199439","4,25219943019705","6,01386251364678","9,3086812902544","0,007054465166883","0,006498350810811","0,006751989486486","0,00714628954955","0,007391071711712"
4106902,Curitiba,PR,"0,823","34,008","6,18","6,38","7,43","7,94","9,03","9,45","8,375","8,375","7,22","7,22","5,54","5,54","3,205","3,205","1,63666666666667","1,63666666666667","1,63666666666667","0,004665543038473","0,00399903689012","0,007331567631887","0,015016665313499","0,033325307417667","0,064691650341372","0,101552258256296","0,15136036064762","0,198467152583964","0,305696963993998","0,561906579881076","0,924947326521891","1,78884366499029","2,68972202532989","4,10721933753002","5,83889783912349","9,0617490467063","0,006059903923933","0,006554461358108","0,006810886864865","0,007040415412162","0,007290198533784"
5300108,Brasília,DF,"0,824","30,82525","7,36","7,79","8,52","8,57","9,55","10,41","9,04","9,04","6,72","6,72","4,285","4,285","2,305","2,305","1,03","1,03","1,03","0,004607949213153","0,003949670754131","0,007241063049241","0,014833237934068","0,032913922951094","0,063896955737274","0,100321997044239","0,149561945557686","0,196258470105876","0,302732796851445","0,557468707255395","0,919398262818095","1,78108338991446","2,68079627959035","4,09606702270948","5,82543901800631","9,04275425874106","0,004299136028955","0,006558777554054","0,006815417432432","0,007032271247748","0,007282439058559"
3205309,Vitória,ES,"0,845","34,56425","5,97","6,07","7,21","7,74","9,54","9,8","7,92","7,92","6,955","6,955","5,94","5,94","3,255","3,255","1,84666666666667","1,84666666666667","1,84666666666667","0,003398478881428","0,002912981898367","0,005340466813672","0,010981262966021","0,024274849153057","0,047208369051221","0,07448651159104","0,111795228669058","0,149876138066028","0,240485286857837","0,464273382116103","0,802867925038362","1,61811761332201","2,49335561906003","3,86186841147812","5,54280377454561","8,64386371147106","0,00592853039909","0,006649417668919","0,006910559351351","0,006861243795045","0,007119490078829"
4205407,Florianópolis,SC,"0,847","34,5145","5,58","5,64","6,76","7,72","9,8","10,51","8,365","8,365","7,16","7,16","5,755","5,755","3,31","3,31","1,60333333333333","1,60333333333333","1,60333333333333","0,003283291230787","0,002814249626389","0,00515945764838","0,01061440820716","0,02345208021991","0,045618979843026","0,072025989166926","0,108198398489189","0,145458773109852","0,234556952572731","0,455397636864742","0,791769797630768","1,60259706317035","2,47550412758095","3,83956378183704","5,51588613231126","8,60587413554059","0,005456274284754","0,006658050060811","0,006919620486486","0,006844955466216","0,007103971128378"
